publication_number,title,abstract,publication_date,filing_date,ipc_codes,assignees
CN-221964955-U,Ultrafiltration reverse osmosis precise filter,"The utility model belongs to the field of filters, in particular to an ultrafiltration reverse osmosis precise filter, which comprises a shell; the novel filter is characterized in that a protective cover is clamped in the shell, filter element equipment is arranged in the protective cover, a water sealing cover is arranged at the top end of the filter element equipment, a column body is fixedly arranged at the top end of the filter element equipment, and an inner groove is formed in the column body; according to the utility model, after the water sealing cover is clamped at the top end of the filter element equipment, the sliding blocks in the columns move and drive the friction blocks to abut against the top end of the water sealing cover, so that the water sealing cover is limited at the top end of the filter element equipment and cannot move, the situation that the water sealing cover and the filter element equipment are separated from each other after long-time use is avoided through threaded connection, the working time of the water sealing cover for isolating purified water and sewage is prolonged, and therefore the frequency of replacing the filter element equipment due to the fact that the water sealing cover cannot work effectively is reduced for an operator, and the economic loss is also reduced.",20241108,20240320,"B01D61/08,C02F1/44",JIANGXI SHENDE MACHINERY TECH CO LTD
CN-212758064-U,Reverse osmosis membrane cleaning device,"The utility model provides a reverse osmosis membrane belt cleaning device belongs to reverse osmosis membrane technical field. The reverse osmosis membrane cleaning device comprises a first cleaning assembly and a second cleaning assembly. The first cleaning assembly comprises two first cleaning frames, a frame rail, an ultrasonic processor and a micro-nano bubble generator. The second cleaning assembly comprises a bottom plate, a second cleaning frame and a frame plate. In the cleaning process, the pollutant on the reverse osmosis membrane takes place neutralization reaction, the displacement reaction respectively with acid and alkali in the liquid phase, form new compound and deposit, thereby reach abluent effect, this device adopts the method that physical principle and chemical principle combined together to wash reverse osmosis membrane, adopt the mode that supersound and micro-nano bubble combined together to wash reverse osmosis membrane in acidizing fluid and alkali lye respectively promptly, such cleaning means cleaning efficiency is high, the cleaning performance is good, can not cause the damage to reverse osmosis membrane in the cleaning process, thereby can prolong reverse osmosis membrane&#39;s life.",20210323,20200608,C02F1/44,"UNIV CHENGDU TECH,CHENGDU SHUIMINGSHAN ENVIRONMENTAL PROTECTION TECH CO LTD"
GB-2626429-A,Water purification device using gradient functional membrane with graphene-induced orientation,"A water purification device comprises a water inlet unit, a membrane water purification unit, a water outlet unit and a control unit, wherein the purification unit comprises a base rotatably connected with a columnar body in which a plurality of columnar water purification cavities 203 are formed in an annular array, a water inlet connecting pipe 204 is connected with the lower end of each cavity, a water outlet connecting pipe 205 is rotatably connected at the top of each cavity, an inner wall of each cavity is fixedly connected with a vertical brush bar 208, a backwashing pipe 209 is connected at an upper end of each cavity, and wherein each cavity contains a membrane filter element comprising graphene the device further comprises driven gear 207 and a power assembly comprising a motor, shaft and driving gear arranged to rotate a selected filter element during cleaning.",20240724,20231215,C02F1/44,UNIV GUILIN TECHNOLOGY
CN-115784489-A,Membrane separation and purification method of emulsified oily wastewater,"The invention discloses a membrane separation and purification method of emulsified oily wastewater, and relates to the technical field of wastewater treatment. The method comprises the following steps: s1, demulsification treatment: injecting emulsified oily wastewater into a raw water storage tank, and sequentially adding alkylphenol polyoxyethylene, fatty acid ester and polydimethylsiloxane into the raw water storage tank to carry out chemical demulsification; s2, conversion and coalescence treatment: and (3) introducing the oily wastewater in the raw water storage tank in the step (S1) into a coalescer, and carrying out conversion and coalescence treatment on floating oil, dispersed oil and emulsified oil in the oily wastewater. The membrane method for separating and purifying the emulsified oily wastewater has good repeatability and high efficiency, has low cost, simple, convenient and effective operation, is convenient to popularize and apply, and realizes the purification treatment of the oily wastewater and the full collection of recovered oil products, thereby improving the purification efficiency and the oil recovery rate of the oily wastewater.",20230314,20221018,C02F1/44,SHANGQIN ENVIRONMENTAL TECH SHANGHAI CO LTD
CN-219384896-U,External mud-water separation formula anaerobic reactor of abnormal flow,"The utility model belongs to the technical field of anaerobic wastewater treatment, and discloses an external sludge-water separation type anaerobic reactor with different flows, wherein a guide cylinder (2) with a guide plate (4) arranged at the bottom is arranged in a tank body (1), a flow baffle plate (3) is arranged above the guide cylinder (2), a spray header (5) is arranged above the flow baffle plate (3), the spray header (5) is communicated with a spray pump (6) on an end cover, and a biogas pipe (8) is arranged on the end cover; an annular overflow weir (9) is arranged at the upper part of the tank body (1), a water pipe (10) and an air pipe (11) are respectively arranged on the tank body (1) above the overflow weir (9), and a spray pipe (12) communicated with a spray pump (6) is arranged on the tank body (1) below the overflow weir (9); one side of the lower part of the tank body (1) is provided with a water inlet pump (13), and the other side is provided with a circulating pump (14); the circulating pump (14) is communicated with the water pipe (10). The utility model simplifies the structure of the traditional anaerobic reactor and reduces the investment cost of the anaerobic reactor.",20230721,20230208,C02F1/44,"JIANGSU FORYOU ENVIRONMENTAL TECH CO LTD,SHANGHAI ZTEC ENVIRONMENTAL TECH CO LTD"
CN-115155323-A,Reverse osmosis and forward osmosis membrane repairing agent and preparation method thereof,"The invention discloses a reverse osmosis and forward osmosis membrane repairing agent and a preparation method thereof, wherein the reverse osmosis and forward osmosis membrane repairing agent comprises the following components: 20-40 parts of membrane pretreatment component, 50-80 parts of membrane repair component, 5-10 parts of acidity regulator and 80-200 parts of water. Adding the membrane repairing component and the membrane pretreatment component into water according to the mass part in a reactor with stirring, and uniformly stirring; under normal pressure, the temperature is controlled to be 60-90 ℃, and the stirring speed is controlled to be 60r/min; stirring for 2-4h under normal pressure while controlling the temperature and stirring speed, analyzing pH value during stirring, and adjusting pH value to 2.5-5.0 with citric acid. The invention can greatly improve the desalination rate of the membrane, has good restoration effect and saves restoration agents, the restored membrane can run for a long time under the working condition that the desalination rate is greatly improved, and can ensure that the restoration effect of the desalination rate and water flux after the membrane is restored is that the desalination rate is improved by more than or equal to 50 percent, the water yield is reduced by less than or equal to 10 percent, and the retention time is maintained by more than or equal to 6 months.",20221011,20220722,C02F1/44,QINGDAO QINAN CHEMICAL TECH CO LTD
CN-118579897-A,Electrodialysis process pretreatment test device and process,"The invention provides an electrodialysis process pretreatment test device and an electrodialysis process pretreatment test process, which belong to the technical field of environmental engineering water treatment, wherein the test device comprises an ultrafiltration unit and a nanofiltration unit; the ultrafiltration unit comprises an ultrafiltration lifting pump, an ultrafiltration raw water tank, an ultrafiltration module and an ultrafiltration water producing tank; the ultrafiltration lifting pump is connected with the ultrafiltration raw water tank and is used for conveying water to be treated to the ultrafiltration raw water tank; the nanofiltration unit comprises a nanofiltration lifting pump, a nanofiltration module and a nanofiltration water production tank. The ultrafiltration unit adopts the ultrafiltration inorganic membrane and the ultrafiltration organic membrane which are connected in parallel, and then the ultrafiltration unit is connected with the nanofiltration unit in series, so that the ultrafiltration mode of the ultrafiltration unit can be switched when the ultrafiltration unit is used, the ultrafiltration organic membrane and the ultrafiltration inorganic membrane have the transverse comparison function of treatment effects, the ultrafiltration unit can be combined for use, the problems of pollution and regeneration efficiency of resin are effectively solved, the treatment cost is low, and the sludge amount is reduced.",20240903,20230301,C02F1/44,"CHINA NAT PETROLEUM CORP,RES INST SAFETY & ENV TECH CO LTD CHINA NAT PETROLEUM CORP"
CN-204746109-U,Book formula film element of multistage formula integrated configuration,"The utility model discloses a book formula film element of multistage formula integrated configuration belongs to water purification filtration technology field, including film element main part and center tube, the center tube is located film element main part axle center, mould component main part is the sectional type, is equipped with separation plate between section and the section. The separation plate that this technical scheme passes through the tape channel will roll up the formula film element and fall into the multistage, shorten infiltration treatment flowsheet, make raw water and dense water intensive mixing, form local torrent, avoid concentration polarization, and the possibility of the local scale deposit of reducible face delays the formation and the growth of dirt crystal simultaneously to alleviate the film element stifled degree of getting dirty, reinforcing antipollution ability, thereby the life of extension product.",20151111,20150624,C02F1/44,VONTRON TECH CO LTD
CN-210825549-U,Periodically-operated ultrafiltration rural sewage treatment equipment,"The utility model relates to a sewage treatment technical field just discloses the rural sewage treatment device of ultrafiltration of a periodic operation, a rural sewage treatment device of ultrafiltration of periodic operation, including supporting the frame, the inside fixed mounting who supports the frame has sewage treatment plant, the top fixed mounting who supports the frame has the water tank. The utility model discloses a, in-connection through the honeycomb duct has waterproof rubber circle and backup pad, support spring through in the backup pad supports the arc piece, and the bracing piece in the backup pad plays limiting displacement to the arc piece, the inside of water tank is by water pump suction clean water, can make the manger plate circle at arc piece top extrude downwards through water pressure, drive arc piece extrusion supporting spring, thereby make the clean water in the water tank can high pressure get into sewage treatment plant, thereby make the milipore filter in the sewage treatment plant that washes that clean water source can be convenient fast, thereby make the device reach clean convenient effect to sewage treatment plant.",20200623,20190724,C02F1/44,YUNNAN SHUIPEI TECH CO LTD
CN-112094001-A,Sewage treatment device suitable for high-altitude low-pressure air pressure,"The invention discloses a sewage treatment device suitable for high altitude and low pressure, wherein a fine grid blocks larger impurities, a stirring rod rotates along with a motor to prevent the impurities from being blocked, an oil separation plate blocks oil above sewage, an oil suction cover is connected with the surface of the floating and sewage, the oil is pumped into an oil tank through an oil guide pipe by using an oil pump to avoid the influence of the oil on the microbial purification effect, the filtered sewage is pumped into an anaerobic tank through a water pumping pipe by using a water pump, the sewage purified in the anaerobic tank is pumped into an aeration tank through a water pipe by using a lifting pump, a first heating plate and a second heating plate are connected with a power supply for heating, the environment of the microbes is ensured, the sewage treatment device suitable for high altitude and low pressure can effectively purify the sewage, and the sewage purification efficiency is improved, the ecological environment is protected.",20201218,20201021,C02F1/44,"CHONGQING CAS TESTING TECH SERVICE CO LTD,CASCHEM CHONGQING NEW MATERIALS RES INSTITUTE CO LTD"
CN-116143145-A,"Salt lake lithium extraction, boron removal and boric acid recovery device","The invention belongs to the technical field of water treatment, and particularly discloses a device for extracting lithium from a salt lake, removing boron and recycling boric acid. The invention comprises a boron removal electrodialysis component, a flat plate reverse osmosis component, a high-pressure reverse osmosis component and a sodium removal bipolar membrane component, wherein each component is sequentially connected, the cathode and anode membranes of the boron removal electrodialysis component adopt a high-power concentration membrane type-12 membrane of Fuji Japan to improve drainage property, the flat plate reverse osmosis component adopts a plate frame structure, and the sodium removal bipolar membrane component adopts a conventional two-compartment sodium removal bipolar membrane device; the invention has the advantages of lithium recovery rate of more than 99.5 percent, low cost, and capability of recovering boron in the lithium recovery rate and forming byproducts in the form of high-purity boric acid crystals.",20230523,20221212,C02F1/44,HANGZHOU WATER TREAT TECHNOLOGY DEVELOPMENT CENTER CO LTD
CN-115745089-A,Water purifier and working method thereof,"The invention provides a water purifier and a working method of the water purifier, and relates to the technical field of water purification. The water purifier comprises a filter element, an energy supply part and a switch part, wherein the filter element comprises a reverse osmosis membrane, a pure water flow channel and a wastewater flow channel, the pure water flow channel and the wastewater flow channel are separated by the reverse osmosis membrane, the pure water flow channel and the wastewater flow channel are connected through a one-way valve, and the one-way valve only allows pure water in the pure water flow channel to enter the wastewater flow channel; the switch part is connected with the pure water flow passage, and the energy supply part is communicated with the pure water flow passage when the switch part is in a closed state, and is configured to be capable of increasing the pressure of the pure water to a first pressure; the check valve has an opening pressure, and the first pressure is greater than the opening pressure. During pure water entering waste water runner through in the pure water runner, need not the purifier and produce unnecessary water, reduce the volume that waste water produced, the purifier does not set up extra reverse osmosis membrane simultaneously, simple structure, and whole size is less, and manufacturing cost is lower.",20230307,20221215,C02F1/44,FOSHAN XINYAO ENVIRONMENTAL PROTECTION TECH CO LTD
US-11623182-B2,Nanofiltration membrane with high flux for selectively removing hydrophobic endocrine disrupting chemicals and preparation method thereof,"A nanofiltration membrane with a high flux for selectively removing hydrophobic endocrine disrupting chemicals and a preparation method thereof are provided. The method includes the following steps: immersing a porous support layer into a first solution, removing excess droplets from a surface of the support layer after taking the support layer out of the first solution, and then immersing the support layer attached with the first solution into a second solution for an interfacial polymerization reaction, followed by washing after completion of the reaction to obtain the subject nanofiltration membrane. The first solution is an aqueous solution containing a polyamine monomer and an acid binding agent, and the second solution is an organic solution containing an acid chloride monomer and a metal-organic framework.",20230411,20200622,"C02F1/44,B01D61/02","UNIV TONGJI,UNIV TIANJIN POLYTECHNIC"
CN-217808856-U,Ultra-membrane cleaning device for pure water treatment equipment,"The utility model discloses a pure water is ultra-membrane cleaning device for treatment facility, its structure includes that ultrafiltration device and the chemistry of being equipped with the chemical cleaning liquid wash the water tank in, the chemistry is washd the water tank and is advanced water piping connection first bilateral control valve through the chemical cleaning liquid, first bilateral control valve passes through chemical cleaning liquid inlet branch union coupling ultrafiltration device&#39;s chemical cleaning liquid water inlet, ultrafiltration device&#39;s chemical cleaning liquid delivery port passes through chemical cleaning liquid and goes out water leg joint second bilateral control valve, the second bilateral control valve goes out water piping connection chemical cleaning water tank top inlet through the chemical cleaning liquid, be equipped with chemical cleaning water pump and pressure alarm on the chemical cleaning liquid inlet tube. The utility model has the advantages that: the structure is reasonable in design, the cleaning effect can be improved, the cleaning is thorough and comprehensive, chemical cleaning liquid can be recycled, the medicine consumption is saved, and the maintenance cost of the ultra-membrane can be reduced; the pressure alarm can preferably control the electric control valve, so that the automatic control of chemical cleaning is realized, and the manpower is saved.",20221115,20220727,C02F1/44,JIANGSU REBOUND ENVIRONMENT TECH CO LTD
TW-202320905-A,"Isolation membrane component and gas capture device with isolation membrane component capable of preventing metal and large particles of aerosol from escaping, thereby enhancing the reaction rate of gas capture","Provided is an isolation membrane component and gas capture device with the isolation membrane component. The isolation membrane component includes: at least a semi-permeable membrane layer, a nitric acid solution layer, and a fixing part, wherein the semi-permeable membrane layer allows gas to pass through, and the nitric acid solution layer covers the semi-permeable membrane layer, and the fixing part is arranged on the periphery of the semi-permeable membrane layer. The invention also provides a gas capture device, which includes a first bottle body, a connection pipeline, and the aforementioned isolation membrane component. The isolation membrane component and the gas capture device with the isolation membrane component of the invention can prevent metal and large particles of aerosol from escaping such that gas is difficult to pass through, thereby enhancing the reaction rate of gas capture.",20230601,20211129,B01D61/08,JOY ALLIED TECH INC
US-2019033222-A1,Method of Determining Residual Flocculant in Effluent of an Industrial Clarification Process,"A method of detecting free flocculant polymer having a net charge present in an aqueous phase of a multi-phase substance is provided. The multi-phase substance comprises a solid phase, an organic phase, and the aqueous phase. The method comprises separating the solid phase from the multi-phase substance to form a dual phase top liquid comprising the organic phase and the aqueous phase; separating the organic phase from the dual phase top liquid, leaving the aqueous phase; combining the free flocculant polymer in the aqueous phase and a dye having an opposite net charge than that of the free flocculant polymer, thereby causing a spectroscopically observable change in the aqueous phase; and analyzing the aqueous phase via spectrometry to determine the concentration of the free flocculant polymer in the multi-phase substance.",20190131,20180727,C02F1/44,ECOLAB USA INC
US-11912602-B2,Water conditioning for bacterial control,"A water conditioning system for evaporative cooling systems reduces operating costs and microbial contamination by introducing positively charged copper-silver ions into water used as a working fluid. Some of the recirculating water is also passed through a magnetic conditioner to increase its conductivity. By concentrating the total dissolved solids (TDS) in a portion of the water to be expelled, the remaining system water plus new make-up water added contains far lower TDS, reducing health risks, maintenance costs, corrosion, and scaling, and extending service life of replaceable filter elements and system machinery. Recovering non-chemically treated cooling tower bleed water with commercial scale nanofiltration water polishing equipment and returning that polished water back to the cooling tower water basin reduces the make-up water required, and may achieve 70% or greater reduction in sewer fees for tower bleed water, along with increased cycles of concentration further reducing requirement for make-up water.",20240227,20220127,C02F1/44,DORROUGH JOHN
KR-20220144592-A,Water treatment system based on single anammox reactor,"The present invention relates to a water treatment system based on a single anammox reactor, comprising: a reactor (10) accommodating a first process unit (11), a second process unit (12), and a third process unit (13); a membrane degasser (20) installed between the first process unit (11) and the second process unit (12) to separate and discharge oxygen; a composite membrane (30) installed between the second process unit (12) and the third process unit (13) and blocking a passage of microorganisms; and a control means (40) at least partially controlling a water treatment process by a controller (42). Accordingly, partial nitrification, anammox denitrification, and denitrification by denitrification microorganisms are induced in one reactor to eliminate additional denitrification facilities, thereby reducing installation and operation costs, and increasing practical applicability.",20221027,20210420,C02F1/44,THE OFOUR INC
CN-109264828-A,Membrane technology separates the processing system and method for uranyl ion under cone nitric acid system,"The present invention provides processing systems and method that a kind of membrane technology separates uranyl ion under cone nitric acid system, and wherein system includes: inlet tank 1；First high-pressure pump 2；One section of nanofiltration membrane group 3, one section of nanofiltration membrane group 3；First buffer tank 4；Second high-pressure pump 5；First-stage reverse osmosis film group 6；Second buffer tank 7；Third high-pressure pump 8；Two sections of nanofiltration membrane groups 9.The processing system and method for uranyl ion under the membrane technology separation cone nitric acid system provided through the invention, utilize the lower retention efficiency of nanofiltration membrane, make part uranyl ion through membrane material, increase the concentration for producing water side, the influent side for making seperation film and the concentration difference for producing water side reduce, and then the permeable pressure head of film two sides is reduced, reach the target for reducing operating pressure；Then the higher retention efficiency of reverse osmosis membrane is utilized, the removal efficiency of uranyl ion in uranium-bearing waste liquid is improved, it is made to meet processing requirement.",20190125,20181115,C02F1/44,BEIJING CLEANNUS TECH CO LTD
CN-220827273-U,Anti-pollution material separation membrane,"The utility model discloses an anti-pollution material separation membrane, which relates to the field of separation membranes and comprises a membrane body and a disassembly component, wherein an ABS (Acrylonitrile butadiene styrene) shell is arranged on the outer side of the membrane body, the disassembly component which is convenient for replacing a filter membrane is arranged on two sides of the ABS shell, the disassembly component comprises a left sleeve, a connection clamping groove, a connection clamping column and a right sleeve, the end part of the left sleeve is provided with the connection clamping groove, and the right side of the connection clamping groove is provided with the connection clamping column. This antipollution material separation membrane can continue to install and dismantle to the separation membrane through being provided with the ABS shell, seals the both ends of left sleeve and right sleeve to the ABS shell, and left sleeve and right sleeve are resin material can be better both ends sealed, thereby improve the leakproofness of device can filter the separation to the material better, and the material of coating of disinfecting is polyamide resin fibrous layer, and the material of antipollution layer is nano silver particle coating, can improve the disinfection and the antipollution performance of device.",20240423,20230904,C02F1/44,SUZHOU PROSHARE ENVIRONMENTAL PROTECTION TECH CO LTD
ES-2912393-A2,Filtration membrane assembly and method of cleaning the same,"An assembly for treating a liquid is provided. The assembly includes a pressure vessel having first and second ends provided with respective first and second endcaps, a membrane element positioned within the pressure vessel, an adapter coupling the first endcap with a first end of the membrane element, a first set of shims positioned between the first endcap and the first adapter, a first thrust collar positioned between the first endcap and the first end of the membrane element, a second thrust collar positioned between the second endcap and a second end of the membrane element, and a second set of shims positioned between the first thrust collar and the first end of the membrane element. An overall thickness of the second set of shims is the same as an overall thickness of the first set of shims.",20220525,20200114,B01D61/02,HYDRANAUTICS
CN-212680650-U,Reverse osmosis system economizer,"The utility model discloses an energy-saving device of a reverse osmosis system, which comprises a water tank, a water inlet pipe, a water outlet pipe, an adjusting mechanism, mercury, a piston, a slide bar, a shell, a heating mechanism and a reverse osmosis membrane; when using, the temperature of the solution of entering inlet tube is passed through the casing and is perceived by mercury, when the temperature of the solution of entering inlet tube is higher, mercury changes gaseous state into from liquid, thereby make the pressure grow in the casing, thereby make the piston to the direction removal that deviates from mercury, the piston drives heating mechanism on slide bar and the slide bar and slides, then realize the outage, make heating mechanism not work, after the temperature of the solution of entering inlet tube reduces, gaseous mercury becomes liquid again, thereby make the inside pressure of casing diminish, slide bar on piston and the piston is to the direction removal that is close to mercury, realize the circular telegram, make heating mechanism rerum, thereby according to the difference of the temperature that gets into the inlet tube, whether control heating mechanism works, be convenient for the saving of the energy.",20210312,20200618,B01D61/08,NANJING SHUNSHUIDA ENVIRONMENTAL PROTECTION TECH CO LTD
CN-221131695-U,Membrane filtration equipment,"The utility model relates to the technical field of water treatment and discloses membrane filtration equipment which comprises a first pumping device and a plurality of membrane filter bins, wherein the input end of the first pumping device is communicated with a pumping pipeline, the output end of the first pumping device is provided with an output pipeline, the output pipeline is provided with a plurality of output ends, the plurality of output ends of the output pipeline are respectively communicated with one ends of the plurality of membrane filter bins, and the plurality of output ends of the output pipeline are respectively provided with a first electromagnetic valve. This device is through the output pipeline and a plurality of different types of membrane filtration module that set up, when using, can utilize the leading-in direction of first solenoid valve control water according to the kind of water to in straining the storehouse with corresponding membrane with the water input, compare in prior art, this device integrates various resins, only needs a equipment to accomplish the different processing demands of water, excellent in use effect.",20240614,20231019,C02F1/44,JIANGSU CREATIVE ELECTRONIC CHEMICALS CO LTD
TW-I724504-B,"Separation membrane sheet, separation membrane element, separation membrane module, and method of manufacturing separation membrane sheet","A separation membrane sheet of the present invention allows a specific fluid component to selectively permeate, and includes a 1st porous layer and a resin composition layer laminated on the 1st porous layer. The resin composition layer has a filtration residue fraction of 20% or more and 90% or less, and includes a resin having an ionic group or a salt thereof, wherein the ion exchange capacity per 1 g of dry resin in the filtration residue is 1 millimole equivalent or more.",20210411,20190821,B01D61/08,SUMITOMO CHEMICAL CO
CN-221500829-U,Composite filter element and water purification system,"The utility model provides a composite filter element and a water purification system, and relates to the technical field of water purification equipment, wherein the composite filter element comprises a pre-filter assembly, a post-filter assembly, a reverse osmosis membrane and a shell, and the post-filter assembly and the pre-filter assembly are axially arranged; the reverse osmosis membrane is arranged around the pre-filtering component and comprises a first side surface and a second side surface, and the reverse osmosis membrane is used for enabling water to unidirectionally permeate into the second side surface from the first side surface; a first water flow channel is formed between the shell and the first side surface, a second water flow channel is formed in the second side surface, the rear filter assembly is arranged in the first water flow channel, and the front filter assembly is arranged in the second water flow channel. According to the utility model, the reverse osmosis membrane is arranged, so that the original isolation structure between the front filter assembly and the rear filter assembly can be replaced, and the reverse osmosis membrane has a smaller radial dimension, thereby being beneficial to improving the space utilization rate and the integration inside the composite filter element.",20240809,20231114,C02F1/44,"A O SMITH CHINA ENV PRODUCTS CO LTD,A O SMITH CHINA WATER HEATER CO LTD"
CN-204702596-U,A kind of container-type is met an urgent need water treating equipment,"A kind of container-type is met an urgent need water treating equipment, comprise casing, be provided with water-in, intake pump, self-cleaning filter, water intaking valve, chemicals dosing plant, hyperfiltration membrane assembly, gas blower, air compressor, gas-holder, dense water valve, water port, product water discharging valve in described casing, produce the mouth of a river, lower valve, it is characterized in that: described filter membrane component water outlet is provided with turbidimeter, described turbidimeter is connected with the product mouth of a river, described turbidimeter with product water valve, produce water discharging valve, water port is connected in series.Turbidimeter is provided with in container-type meets an urgent need water treating equipment, in time, effectively can not only detect product quality, and can notify rapidly that water treatment equipment system is closed and produce water valve, the current exceeding default turbidity are stoped to produce the mouth of a river, open product water discharging valve simultaneously, the water of failing is disposed to the external world through water port.Reach effective rapidly to detect, ensure that producing water turbidity standard is less than or equal to 0.1NTU.",20151014,20150428,C02F1/44,HUANG CHU
ES-2594367-T3,,,20161219,20061012,B01D61/02,HYDROPATH TECH LTD
BR-PI0815054-A2,,,20150210,20080806,"C02F1/44,B01D61/02",KURITA WATER IND LTD
CN-204710123-U,A kind of use for laboratory continous way membrane module,"The utility model discloses a kind of use for laboratory continous way membrane module, this use for laboratory continous way membrane module is divided into two kinds of structures, and one is stand-alone configuration membrane module, and another kind is parallel structure membrane module.Feature is: stand-alone configuration membrane module is made up of outer cavity layer and interior cavity layer, and parallel structure membrane module is made up of the parallel connection of stand-alone configuration membrane module.Advantage is: this use for laboratory continous way membrane module build is small and exquisite, and structure is simple, and easily-disassembled, cost is low; Both can make use for laboratory continous way membrane bioreactor membrane module, immersion forward osmosis membrane assembly can have been made again; Different technological parameters (as pressure, flow velocity) can be regulated to carry out the performance test of test membrane; Contrast test can be carried out to the test membrane of various trait; Can realize continous way operation, easy cleaning, operational management is convenient.",20151021,20150430,C02F1/44,UNIV NINGBO
CN-116409841-A,"Lithium-magnesium separation device, system and method driven by interface photo-thermal concentration","The invention relates to a lithium-magnesium separation device driven by interface photo-thermal concentration and a method thereof, wherein the device comprises a brine chamber, a photo-thermal material, a lithium-magnesium separation membrane and an extracting solution chamber, wherein the brine chamber is used for accommodating brine; the photo-thermal material is used for heating brine; the lithium-magnesium separation membrane is used for separating lithium ions and magnesium ions; the extracting solution chamber is used for containing lithium ion extracting solution; the photo-thermal material absorbs light and converts the light energy into heat energy, and brine is subjected to photo-thermal evaporation concentration on a photo-thermal material interface; the lithium-magnesium separation membrane is arranged between the brine and the extracting solution, a concentration difference is formed between the brine and the extracting solution, and the lithium-magnesium separation membrane takes the concentration difference as a driving force, permeates lithium ions and intercepts magnesium ions. The device or the method converts sunlight into heat, efficiently concentrates brine through interface heating, synchronously separates lithium and magnesium in the concentration process, realizes the full utilization of light energy, and seamless connection of concentration and separation, shortens the duration of extracting lithium from the salt lake, and reduces the energy consumption of extracting lithium from the salt lake.",20230711,20230306,C02F1/44,NANJING UNIVERSITY OF TECHNOLOGY
US-10220351-B2,Superhydrophilic and oleophobic porous materials and methods for making and using the same,"The present disclosure provides a porous material having a surface that is concurrently both superhydrophilic (having a first apparent advancing dynamic contact angle of less than or equal to about 5° for water) and oleophobic (having a second apparent advancing dynamic contact angle of greater than or equal to about 90°) or superoleophobic (a second apparent advancing dynamic contact angle of greater than or equal to about 150° for oil). Such materials can be used in a separator device to separate a liquid-liquid mixture of immiscible components (e.g., oil and water) or miscible components (e.g., alcohols). Separation apparatus incorporating such materials and methods of making and using these materials are also provided.",20190305,20151112,C02F1/44,"UNIV MICHIGAN REGENTS,US AIR FORCE"
ES-2813446-R1,,,20210408,20180627,C02F1/44,"UNIV BURGOS,CETAQUA CENTRO TECNOLOGICO DEL AGUA FUND PRIVADA"
CN-214764578-U,Reverse osmosis membrane medicine belt cleaning device,"The utility model discloses a reverse osmosis membrane drug cleaning device, which comprises a support frame, wherein the support frame is arranged on an external platform, the front side and the rear side of the lower end of the inner left side of the support frame are all welded with a strut, and the inner part of the upper end of the strut is connected with a connecting rod in a penetrating way; the box body is connected to the upper part inside the pillar through connecting blocks, the front end and the rear end of the connecting rod respectively penetrate through the connecting blocks on the front side and the rear side, and the lower end of the right side of the box body is fixedly connected with an electric telescopic rod; the reverse osmosis membrane comprises a shell, a handle and a reverse osmosis membrane body, wherein the shell is arranged in a box body through a rotating rod on the left side and a handle on the right side; and the cover is connected above the box body through a hinge, and the right end of the cover is connected with the right end of the upper part of the box body through a screw. This reverse osmosis membrane medicine belt cleaning device both has been convenient for carry out the separation processing to liquid medicine and impurity after the clearance, also is convenient for handle the inside clearance liquid medicine of reverse osmosis membrane totally.",20211119,20210319,B01D61/02,JIANGSU LONGMO ENVIRONMENTAL TECH CO LTD
AU-2015237315-B2,A draw solute for a forward osmosis process,"A draw solute for a forward osmosis process, the draw solute comprising: a thermally responsive ionic compound having at least one of: a lower critical solution temperature (LCST) and an upper critical solution temperature (UCST), the draw solute being regeneratable from a diluted aqueous draw solution after forward osmosis via one of: liquid- liquid phase separation and solid-liquid phase separation, the draw solute being regeneratable when the diluted aqueous draw solution is at a temperature selected from one of: above the LCST and below the UCST",20200312,20150325,C02F1/44,UNIV NANYANG TECH
JP-2019130433-A,Water purification system,To provide water purification system that easily configures multiple water purification units to be installed in a container and eliminates maintenance as much as possible.SOLUTION: There is provided a water purification system with a container 51 including: a storage battery that stores electricity generated by a solar module 53; a first water purification unit 6 provided on an upstream side of a main pipe 1; a reclaimed water storage unit 2 that is connected to a sub pipe branched from the main pipe 1 and automatically generates and stores reclaimed water in which salt and raw water are mixed; a soft water generating unit 3 that receives the reclaimed water from the reclaimed water storage unit 2 and regenerates the reclaimed water using water softening means and softens the raw water using the water softening means; a soft water storage unit 4 that is connected to a downstream side of the soft water generating unit 3 and stores the generated soft water; a reverse osmosis membrane treatment unit 61 connected to the soft water storage unit 4; a reverse osmosis membrane cleaning treatment unit 62 that automatically cleans a reverse osmosis membrane material of the reverse osmosis membrane treatment unit 61; a drinking water storage unit 63 connected to the reverse osmosis membrane treatment unit 61; and a final water purification treatment unit 65 and a water supply unit 66 connected to the drinking water storage unit 63.SELECTED DRAWING: Figure 1,20190808,20180129,C02F1/44,HAJIME CO LTD
