publication_number,title,abstract,publication_date,ipc_codes,assignees
US-10906004-B2,Spiral membrane module,"Provided is a spiral membrane module which is suitable for being set up in the vertical direction since at one end of its pressure vessel, the supply of feed liquid and the discharge of concentrated liquid can be attained.",20210202,"B01D63/10,B01D65/00,B01D63/00,C02F1/44",NITTO DENKO CORP
EP-3065518-B1,Waterproof ventilation structure and waterproof ventilation member,,20200205,"B01D53/26,B01D71/32",NITTO DENKO CORP
WO-2023149438-A1,"Acidic gas adsorbent, structure comprising acidic gas adsorbent, acidic gas adsorption device, and acidic gas adsorbent production method",The present invention provides a novel acidic gas adsorbent which is suitable for adsorption of an acidic gas. An acidic gas adsorbent 10 according to the present invention comprises: fibers 1; and a coating layer 2 that contains a polymer P and coats the fibers 1. The polymer P has: a structural unit derived from an epoxy monomer; and an amino group. A structure 15 according to the present invention comprises the acidic gas adsorbent 10 and has a ventilation path 14. An acidic gas adsorption device 200 according to the present invention comprises an adsorption unit 221 which has a gas inlet 222 and a gas outlet 223. The adsorption unit 221 accommodates the acidic gas adsorbent 10.,20230810,B01D53/04,NITTO DENKO CORP
TW-202003101-A,Selectively permeable graphene oxide membrane,"Described herein are crosslinked graphene oxide based composite membranes that provide selective resistance for gases while providing water vapor permeability. Such composite membranes have a high water/air selectivity in permeability. The methods for making such membranes, and using the membranes for dehydrating or removing water vapor from gases are also described.",20200116,"B01D61/00,B01D71/02,B01D71/80",NITTO DENKO CORP
WO-2023063050-A1,"Acidic gas adsorbent, structure provided with acidic gas adsorbent, acidic gas adsorption device, acidic gas recovery device, method for producing acidic gas adsorbent, and sheet-like structure",The present invention provides a novel acidic gas adsorbent which is suitable for adsorption of an acidic gas. An acidic gas adsorbent 10 according to the present invention is provided with a porous sheet 1 that contains a polymer P. The polymer P has an amino group. The porous sheet 1 has a three-dimensional network skeleton that is configured from the polymer P. A structure 15 according to the present invention is provided with the acidic gas adsorbent 10 and a ventilation path 14. An acidic gas adsorption device 200 according to the present invention is provided with an adsorption unit 221 which has a gas inlet 222 and a gas outlet 223. The acidic gas adsorbent 10 is contained in the adsorption unit 221.,20230420,B01D53/04,NITTO DENKO CORP
JP-2017064629-A,"Flow path material for forward osmosis membrane, separation membrane unit and separation membrane element","PROBLEM TO BE SOLVED: To provide a flow path material for a forward osmosis membrane excellent in agitation effect and pressure loss around a membrane surface even when a flow channel is linear, a separation membrane unit where the agitation effect and pressure loss around the membrane surface due to the flow path material are excellent, a separation membrane laminate is simply produced, handling ability is excellent and a structure for forming the flow channel can be simplified, a laminate of the same and a separation membrane element using the laminate.SOLUTION: A flow path material for a forward osmosis membrane which has a network structure including resin fibers 13a, 13b in two directions, in which the resin fibers 13a, 13b intersect with each other at an intersection angle α of 40-90 degrees and which has a thickness t of 0.1-1.0 mm is provided.SELECTED DRAWING: Figure 1",20170406,"C02F1/44,B01D63/08,B01D63/00,B01D61/00",NITTO DENKO CORP
CN-102939328-B,Polytetrafluoroethylene porous membrane with small elongation anisotropy and process for production thereof,"Provided is a polytetrafluoroethylene (PTFE) porous membrane. In the tensile test wherein an arbitrary in-plane direction of the membrane is taken as the first direction and the in-plane direction perpendicular to the first direction is taken as the second direction, the strengths of the PTFE porous membrane in the first and second directions are each 20N/mm2 or more, and the elongations thereof at break in both directions are each 200% or less, with the ratio of the elongation in the second direction to that in the first direction being 0.5 to 2.0. The elongation and elongation anisotropy of the membrane as observed when an external force is applied thereto are small.",20150211,"B01D39/16,B01D71/36",NITTO DENKO CORP
US-10439185-B2,Hydrogen-releasing film,"The objective of the present invention is to provide a hydrogen-releasing film, a composite hydrogen-releasing film and a hydrogen-releasing laminated film that are not prone to embrittlement in the usage environmental temperatures of electrochemical elements. The hydrogen-releasing film containing an alloy, wherein the alloy is a Pd—Au alloy, and the Au content in the Pd—Au alloy is 15 mol % or more.",20191008,"B01D71/02,B01D71/36,B01D71/38,B01D69/10,B01D69/12",NITTO DENKO CORP
CA-3024857-A1,Selectively permeable graphene oxide membrane,"Described herein is a crosslinked graphene based composite membrane that provides selective resistance to fluids solutes while providing water permeability, such as a selectively permeable membrane comprising a crosslinked graphene with a polyvinyl alcohol and silica-nanoparticle layer that can provide enhanced water separation. Also described herein are methods for making such membranes and methods of using the membranes for dehydrating or removing solutes from water.",20171123,"B01D69/12,B01D67/00,B01D69/14,B01D61/02,B01D71/56,B01D71/02,B01D69/10",NITTO DENKO CORP
TW-I727552-B,Selectively permeable polymeric membrane,Described herein are polymeric based composite membranes that provide selective resistance for gases while providing water vapor permeability. Such composite membranes have a high water/air selectivity in permeability. The methods for making such membranes and using the membranes for dehydrating or removing water vapor from gases are also described.,20210511,"B01D71/80,B01D61/00,B01D53/26,B01D71/76",NITTO DENKO CORP
CN-105939778-A,Method for producing composite semipermeable membrane,"The purpose of the present invention is to provide: a composite semipermeable membrane that has excellent oxidation resistance compared to the prior art; and a method for producing the composite semipermeable membrane. The method for producing a composite semipermeable membrane is characterized by: comprising a step in which an amine solution containing a polyfunctional amine component and an organic solution containing a polyfunctional acid halide component are brought into contact on a porous support body and a skin layer containing a polyamide resin is formed on the surface of the porous support body; the polyfunctional amine component containing N,N&#39;-dimethylmetaphenylenediamine; and by the solvent of the organic solution being an organic solvent that has a boiling point of 130-250 DEG C.",20160914,"B01D71/56,B01D69/12",NITTO DENKO CORP
KR-20190068619-A,,,20190618,"B01D61/02,B01D71/56,B01D69/12,B01D63/10",NITTO DENKO CORP
WO-2018117056-A1,"Polytetrafluoroethylene porous membrane, and waterproof breathable membrane and waterproof breathable member using same","The polytetrafluoroethylene (PTFE) porous membrane according to the present disclosure has a moisture permeability of 150000 g/(m 2 ·day) or more in the membrane thickness direction as measured in accordance with the specifications of JIS L1099 (B-1 Method). The PTFE porous membrane according to the present disclosure, when attached as a waterproof breathable membrane to a housing of an electrical product, an electrical component, or the like, can allow water vapor retained in the housing to be more quickly discharged out of the housing.",20180628,B01D71/36,NITTO DENKO CORP
CN-117042868-A,"Method for producing separation membrane, and separation membrane","The invention provides a method for producing a separation membrane, which is suitable for transferring a separation functional layer and an intermediate layer from a release liner to a porous support. The manufacturing method of the present invention is a manufacturing method of a separation membrane 10 including a separation functional layer 1, a porous support 3, and an intermediate layer 2. The manufacturing method comprises the following steps: forming an intermediate layer 2 on a1 st laminate 15 having a release liner 5 and a separation functional layer 1; bonding an intermediate layer 2 of a2 nd laminate 16 having a release liner 5, a separation functional layer 1, and an intermediate layer 2 in this order to a porous support 3 to form a 3 rd laminate 17; and removing the release liner 5 from the 3 rd laminate 17. In the production method, the intermediate layer 2 is formed such that the ratio R of the adhesive strength A2 (N/50 mm) between the intermediate layer 2 and the porous support 3 to the adhesive strength A1 (N/50 mm) between the release liner 5 and the separation functional layer 1 is 3.1 or more.",20231110,B01D67/00,NITTO DENKO CORP
JP-2023089316-A,Determination device and determination program,To accurately determine specific behavior classification of a ruminant.SOLUTION: A determination device 130 includes: a generation unit for executing frequency analysis for one-dimensional time-series data indicating an acceleration output by an acceleration sensor 110 attached to a ruminant 10 and generating two-dimensional arrangement data indicating intensity of each frequency in each time; and a determination unit for determining behavior classification by predetermined time range of the ruminant with the two-dimensional arrangement data by predetermined time range as an input.SELECTED DRAWING: Figure 1,20230628,G06N20/00,NITTO DENKO CORP
US-2020353426-A1,Composite semipermeable membrane and method for manufacturing same,"A method for manufacturing a composite semipermeable membrane is capable of forming, on a surface of a porous support in a highly reproducible manner, a separation layer that is extremely thin and that exhibits superior separability. It provides, on a surface of a porous support, a composite semipermeable membrane that has an organic/inorganic hybrid separation layer that is extremely thin and that exhibits superior separability. A method for manufacturing a composite semipermeable membrane includes forming, on a surface of a porous support, a separation layer containing a cross-linked condensate having a siloxane bond by bringing an organic solution that contains an organic silicon compound containing three or more reactive functional groups, each of which is at least one type selected from a hydrolyzable group and a hydroxyl group, into contact with water or an aqueous solution on the porous support, and by performing interfacial polycondensation of the organic silicon compound.",20201112,"B01D71/70,B01D67/00,B01D69/12,B01D69/10",NITTO DENKO CORP
US-2015224424-A1,"Container for use in stirring device, stirring device, and method for producing separator for nonaqueous electrolyte electricity storage devices","Provided is a container for use in a stirring device, the container including: an inner tubular portion ( 41 ) having a bottom and formed to have a cylindrically-shaped inner circumferential surface, the inner tubular portion capable of containing therein a material ( 11 ) for preparing an epoxy resin composition containing an epoxy resin, a curing agent, and a porogen; and a shaft portion ( 42 ) having a tubular or columnar shape and placed upright on a central region of an inner side of the bottom of the inner tubular portion ( 41 ). Further provided are a stirring device using the container and a method for producing a separator for nonaqueous electrolyte electricity storage devices.",20150813,B01D19/02,NITTO DENKO CORP
WO-2020138009-A1,Filter pleat pack and air filter unit,"A filter pleat pack according to the present disclosure comprises an air filter medium which is folded in a pleat shape, wherein the air filter medium includes a laminate composed of a polytetrafluoroethylene (PTFE) porous membrane and an air-permeable support material, when observing a cross-section of the filter pleat pack cut by a plane perpendicular to a pleat line of the filter pleat pack, the PTFE porous membrane has a first convergence section, a dividing section, a second convergence section in this order in a direction in which the membrane extends, in the dividing section, the PTFE porous membrane is divided to a plurality of layers in the thickness direction of the membrane, and the plurality of layers are spaced apart from each other, and in the first convergence section and the second convergence section, the plurality of layers converges on one layer. The filter pleat pack according to the present disclosure is a filter pleat pack in which a deterioration in collection efficiency during pleat processing is suppressed.",20200702,"B01D71/36,B01D69/12,B01D63/14,B01D39/16,B01D69/10,B01D69/00",NITTO DENKO CORP
EP-2329873-B1,A filter support,,20200902,"B01D71/32,B01D46/10,B01D71/26,B01D71/36",NITTO DENKO CORP
JP-2021137756-A,Separation membrane and method for manufacturing separation membrane,"To provide a separation film having sufficient separation performance and excellent chemical resistance.SOLUTION: This separation membrane comprises: a porous support; a polyamide-based separation functional layer provided on the porous support; and a coating layer provided on the polyamide-based separation functional layer, wherein a fragment of CN2-(m/z=40) and/or CHN2-(m/z=41) is detected in the analysis of the coating layer by time-of-flight secondary ion mass spectrometry (TOF-SIMS).SELECTED DRAWING: Figure 1",20210916,"B01D71/56,B01D71/58,B01D69/12,B01D69/10",NITTO DENKO CORP
US-11590458-B2,Composite semipermeable membrane and method for manufacturing same,"A method for manufacturing a composite semipermeable membrane is capable of forming, on a surface of a porous support in a highly reproducible manner, a separation layer that is extremely thin and that exhibits superior separability. It provides, on a surface of a porous support, a composite semipermeable membrane that has an organic/inorganic hybrid separation layer that is extremely thin and that exhibits superior separability. A method for manufacturing a composite semipermeable membrane includes forming, on a surface of a porous support, a separation layer containing a cross-linked condensate having a siloxane bond by bringing an organic solution that contains an organic silicon compound containing three or more reactive functional groups, each of which is at least one type selected from a hydrolyzable group and a hydroxyl group, into contact with water or an aqueous solution on the porous support, and by performing interfacial polycondensation of the organic silicon compound.",20230228,"B01D69/10,B01D71/70,B01D69/12,B01D67/00",NITTO DENKO CORP
EP-4056260-A4,Water treatment system and water treatment method,,20230531,"C02F1/461,B01D61/02,C02F1/44,C02F103/08,C02F9/00,C02F1/467,C02F103/02,B01D61/58",NITTO DENKO CORP
CN-117098589-A,Hydrophilic membrane separation layer,Described herein are gas separation membranes that provide improved compatibility between a grooved layer and a porous support and/or a separation layer for gases. The composite membrane has high water/gas selectivity in terms of permeability.,20231121,B01D53/22,NITTO DENKO CORP
JP-2015178063-A,Float type electrolytic sterilization device,"PROBLEM TO BE SOLVED: To provide a float type electrolytic sterilization device that has improved usability and is economical.SOLUTION: This invention provides a float type electrolytic sterilization device A that sterilizes storage water, with the device floating on a water surface. The device comprises a flexible CIGS solar battery unit 2, a sealant 3 covering the flexible CIGS solar battery unit 2, a water electrolysis unit 4 that operates by receiving power supply from the flexible CIGS solar battery unit 2, and a float 8. The device is formed so that it is freely folded or wound.",20151008,C02F1/46,NITTO DENKO CORP
US-2020376442-A1,Graphene oxide membrane protective coating,Described herein are protective coatings for reverse osmosis membranes comprising coating mixtures of graphene oxide crosslinked with copolymers. The crosslinked GO copolymer mixture coatings provide protection from chlorine-based defoulers of saline water and unprocessed fluids. The coated membranes described herein create a reverse osmosis structure that has excellent water flux and salt rejection. The crosslinking copolymers can comprise an optionally substituted vinyl imidazole constituent unit and an optionally substituted acrylic amide constituent unit.,20201203,"B01D61/02,C02F1/44,B01D71/56,B01D65/08,B01D67/00,B01D69/12,B01D71/02",NITTO DENKO CORP
WO-2022059368-A1,"Separation membrane, separation membrane production method, and coating fluid for producing separation membrane","The present invention provides a separation membrane having high separation from a gas mixture including an acid gas. This separation membrane 10 comprises a separation functional layer 1 including graphene oxide, an ionic liquid, and a polymer. The ionic liquid is hydrophilic, for example, and includes imidazolium ions and tetrafluoroborate. This separation membrane 10 production method includes: coating a coating fluid that includes a graphene oxide, ionic liquid, and a polymer, on to a base material; obtaining a coating membrane; and drying the coating membrane.",20220324,"B01D69/10,B01D69/00,B01D71/02,B01D69/12,B01D71/52",NITTO DENKO CORP
US-2017174537-A1,Selectively permeable graphene oxide membrane,"Described herein is a graphene material based membrane that provides selective resistance for solutes or gas while providing water permeability. A selectively permeable membrane comprising graphene oxide, reduced graphene oxide, and also functionalized or crosslinked between the graphene, that provides enhanced salt separation from water or gas permeability resistance, methods for making such membranes, and methods of using the membranes for dehydrating or removing solutes from water are also described.",20170622,"B01D71/02,B01D69/08,B01D69/12,B01D67/00,C02F1/44",NITTO DENKO CORP
TW-202208792-A,"Humidity control element, humidity control module, and humidity control system","This humidity control element comprises: a first air channel; a second air channel; and a moisture permeable membrane that partitions the first air channel and the second air channel and allows water vapor to permeate between air in the first air channel and air in the second air channel. The moisture permeable membrane has a planar shape and is provided with the first air channel on one surface thereof and the second air channel on the other surface thereof. When the planar shape is divided into two regions by a straight line, an inlet and an outlet of the first air channel are arranged on the one surface side of one region, and an inlet and an outlet of the second air channel are arranged on the other surface side of the other region.",20220301,B01D53/26,NITTO DENKO CORP
EP-3950104-A1,"Vent member, method for manufacturing electronic device including vent member, and member supply tape","A member of the present invention is a member for a ventilation hole, the member to be placed to cover a ventilation hole in order to allow passage of gas between an outside and an inside of a housing through the ventilation hole of the housing and prevent dust and/or a liquid from entering the inside from the outside through the ventilation hole. The member of the present invention includes a porous membrane having air permeability in a thickness direction and a provisional protective film joined to the porous membrane to cover the porous membrane from the outside side. The provisional protective film is air-impermeable in a thickness direction or has lower air permeability in the thickness direction than the air permeability of the porous membrane. The provisional protective film and the porous membrane are joined to each other in such a manner that the provisional protective film is removable from the porous membrane. The member of the present invention is unlikely to cause defective suction-holding during suction-holding by a suction-holding device even when downsized and the member of the present invention can reduce damage to the porous membrane during suction-holding.",20220209,B01D69/10,NITTO DENKO CORP
EP-3520875-B1,"Air filter medium, air filter pack, and air filter unit",,20210324,"B01D39/16,B01D46/52,B01D71/36",NITTO DENKO CORP
WO-2024070575-A1,Air-permeable membrane,"The present invention provides a novel air-permeable membrane that is suitable for separating a volatile organic compound from an aqueous solution containing the organic compound. An air-permeable membrane 10 according to the present invention comprises a separation function layer 1. The separation function layer 1 has a silicone-resin-containing matrix 2, and a silica-containing filler 3 that is dispersed in the matrix 2. The air-permeable membrane 10 is used in order to, for example, separate a volatile organic compound from an aqueous solution containing the organic compound.",20240404,"B01D71/70,B01D61/36,B01D71/02,B01D65/10",NITTO DENKO CORP
WO-2021059729-A1,Hollow fiber membrane module,"This hollow fiber membrane module 100 comprises a plurality of hollow fiber membranes 10, a binding part 20 that bundles one end of the plurality of hollow fiber membranes 10, a cap 30 that has an internal space 30s that is in communication with each of the plurality of hollow fiber membranes 10 and that is integrated with the binding part 20, and a housing 40 that houses the plurality of hollow fiber membranes 10 and the binding part 20 and to one end of which the cap 30 is attached. The present invention achieves the removal of a unit 70, which comprises the plurality of hollow fiber membranes 10, the binding part 20, and the cap 30, from the housing 40 and installation of the unit 70 in the housing 40 while maintaining the integrated state of the binding part 20 with the cap 30.",20210401,"B01D63/00,B01D63/02",NITTO DENKO CORP
TW-I674139-B,,,20191011,"B01D63/14,B01D71/36,B01D39/16",NITTO DENKO CORP
JP-2015181990-A,Carboxymethyl cellulose composite separation membrane and film separation method using the same,"PROBLEM TO BE SOLVED: To provide a CMC separation film that can exhibit desired performance for the long term.SOLUTION: A carboxymethyl cellulose composite separation membrane (10) of the present disclosure comprises a support film (20), a separation functional layer (30) that is a layer supported by the support film (20), the layer made from carboxymethyl cellulose, and a protective layer (40) covering the separation functional layer (30). The protective layer (40) is a layer comprising, for example, silicone resin or fluorine resin as the main component.",20151022,"B01D71/34,B01D69/10,B01D71/36,B01D71/66,B01D69/12,B01D71/56,B01D71/12,B01D53/22",NITTO DENKO CORP
US-2018193787-A1,Air-permeable filter provided with oil repellency,"The present invention provides an air-permeable filter capable of maintaining excellent air permeation performance without being clogged even in an environment involving exposure to an oil, oil mist, or ink. The present invention relates to an air-permeable filter including a porous membrane having a surface coated with an oil-repellent agent, the filter being characterized in that a sliding angle of 20 μl of hexadecane or pentadecane on the surface of the filter is 60° or less.",20180712,"B01D69/02,B01D46/00,B01D39/16,B01D71/36,B01D67/00",NITTO DENKO CORP
CA-3024857-C,Selectively permeable graphene oxide membrane,"Described herein is a crosslinked graphene based composite membrane that provides selective resistance to fluids solutes while providing water permeability, such as a selectively permeable membrane comprising a crosslinked graphene with a polyvinyl alcohol and silica-nanoparticle layer that can provide enhanced water separation. Also described herein are methods for making such membranes and methods of using the membranes for dehydrating or removing solutes from water.",20210119,"B01D61/02,B01D69/12,B01D71/02,B01D71/56,B01D69/14,B01D69/10,B01D67/00",NITTO DENKO CORP
TW-202333853-A,"Composite semipermeable membrane, spiral membrane element, water treatment system, and water treatment method",A composite semipermeable membrane 12 of the present invention includes a porous support membrane 12a and a skin layer 12b supported by the porous support membrane 12a. The membrane surface of the composite semipermeable membrane 12 has an elastic modulus of 250 MPa or more and 500 MPa or less as calculated by force curve measurement using AFM in water. A spiral membrane element 20 of the present invention includes the composite semipermeable membrane 12 of the present invention. A water treatment system 100 of the present invention includes the spiral membrane element 20 of the present invention.,20230901,"B01D69/12,B01D61/08,B01D71/00,B01D69/10,C02F1/44,B01D67/00,B01D65/08",NITTO DENKO CORP
TW-I624498-B,,,20180521,B01D71/36,NITTO DENKO CORP
EP-3520873-A4,"Air filter material, air filter pack, and air filter unit",,20200304,"B01D63/14,B01D39/16,B01D46/52,B01D71/36",NITTO DENKO CORP
WO-2019195380-A1,Mixed matrix membrane with graphene oxide and polyether amide polymer for dehydration of gas,"Described herein are crosslinked graphene oxide based composite membranes that provide selective resistance for gases while providing water vapor permeability. Such composite membranes have a high water/air selectivity in permeability. The methods for making such membranes, and using the membranes for dehydrating or removing water vapor from gases are also described.",20191010,"B01D69/12,B01D53/26,B01D69/02,B01D71/28,B01D71/82,B01D71/40,B01D71/80,B01D71/52,B01D71/62,B01D67/00,B01D71/56,B01D69/14,B01D53/22,B01D71/02",NITTO DENKO CORP
TW-I856027-B,,,20240921,B01D63/02,NITTO DENKO CORP
US-2024408573-A1,Acidic gas adsorbent and acidic gas adsorption device,"The present invention provides an acidic gas adsorbent suitable for adsorption and desorption of acidic gas under a relatively mild condition. The acidic gas adsorbent of the present invention includes a polymer having an amino group. A density of nitrogen element in the acidic gas adsorbent is higher than 12.0 mmol/g. With respect to the acidic gas adsorbent, when an adsorption test is performed, an adsorption amount of carbon dioxide is 0.35 mmol/g or more. When a desorption test is performed, a desorption amount of carbon dioxide is 0.2 mmol/g or more.",20241212,B01D53/04,NITTO DENKO CORP
CN-110563003-A,Method and apparatus for treating waste liquid from polarizing plate production,"The invention provides a processing device of a polarizing plate manufacturing waste liquid, which can efficiently recover a high-quality potassium iodide solution from the polarizing plate manufacturing waste liquid. A treatment apparatus (1) for a polarizing plate production waste liquid for recovering potassium iodide from the polarizing plate production waste liquid, comprising: a first treatment device (10) for performing solid-liquid separation on a precipitate generated by concentrating and crystallizing a polarizing plate manufacturing waste liquid to generate a potassium iodide solution in which impurities including boron and polyvinyl alcohol are reduced; a first impurity adsorbing device (30) for adsorbing polyvinyl alcohol remaining in the obtained potassium iodide solution to a polyvinyl alcohol adsorbent; and a second impurity adsorbing device (40) for adsorbing boron remaining in the potassium iodide solution after passing through the first impurity adsorbing device (30) to the boron selective adsorption resin.",20191213,"C02F9/10,B01D36/00",NITTO DENKO CORP
WO-2020149041-A1,Spiral membrane element and method for producing same,"This spiral membrane element 10 comprises a water collection pipe 21, a separation membrane 12 that is wound on the water collection pipe 21, and a cover layer 24 that is provided on an end surface 12p of the separation membrane 12 in a direction parallel to the longitudinal direction of the water collection pipe 21. The cover layer 24 is, for example, configured from a resin material having a composition different from that of an adhesive 26 that is used in order to attach a bag-form structure to the separation membrane 12.",20200723,"B01D63/00,B01D63/10",NITTO DENKO CORP
WO-2020257348-A1,Chlorine resistant membrane with sericin cross-linked graphen oxide compound and method for making the same,"In one form, a selectively permeable membrane is protected from degradation due to exposure to chlorine-based oxidants. Some embodiments include selectively permeable membrane elements having a protective coating comprising graphene oxide and sericin that are permeable to water but impermeable to solutes. In one form, the graphene oxide and sericin are crosslinked, and the protective coating may include one or more other crosslinking compounds.",20201224,"B01D69/14,B01D69/12,B01D71/02,B01D67/00,B01D69/10,B01D69/02",NITTO DENKO CORP
EP-4129456-A1,Separation film,"The present invention provides a separation membrane that allows a separation functional layer to have less defects and that inhibits a flux of a permeation fluid from decreasing. A separation membrane 10 of the present invention includes a separation functional layer 1, an interlayer 2, and a porous support member 3 in this order in a stacking direction. The interlayer has a thickness of 0.1 µm to 2.5 µm. A total value of the thickness of the interlayer 2 and a thickness of the separation functional layer is less than 4.0 µm. The interlayer 2 contains a polymer compound (E), for example. A distance Ra between a Hansen solubility parameter of the polymer compound (E) and a Hansen solubility parameter of H 2 O is less than 19 MPa 1/2 , for example.",20230208,"B01D69/12,B01D61/36,B01D71/38,B01D69/00,B01D69/10,B01D71/64,B01D71/52,B01D71/54",NITTO DENKO CORP
US-11410409-B2,"Image classification system and method, classification data creation system and method, and storage medium",Provided is an image classification system for classifying an input image including: a network constructed so that feature amount extraction processing and fully connected processing are executed on input image data; a path extracting means configured to extract a processing path in the network; and a determination module configured to compare the processing path extracted by the path extracting means and a plurality of setting paths set in advance in association with classes to set a class associated with a matched path as a class of the input image.,20220809,"G06N5/04,G06N3/04,G06N3/08",NITTO DENKO CORP
CN-106999847-A,Improved air cleaning system and the method for removing formaldehyde,The present invention relates to the method that the pollutant including volatile compound (VOCs) is decomposed using the photocatalytic composition of visible spectrum.,20170801,"B01D53/88,B01D53/86,B01D53/72",NITTO DENKO CORP
TW-I584871-B,,,20170601,"B01D69/02,B01D39/16,B01D71/36",NITTO DENKO CORP
WO-2016080492-A1,Dehumidifying device and lamp,"A vehicle lamp 1 is provided with: a ventilating unit 10 that is provided in a first opening 2a of a closed case 2, prevents penetration of liquids and solids to an inside space S within the case 2, and allows the passage of air between the inside space S and an outside space of the vehicle lamp 1; and a dehumidifying unit 20 that is provided in a second opening 2b of the case 2 different in position from the first opening 2a and has an electrolysis dehumidifying element for eliminating water vapor in the inside space S to the outside of the vehicle lamp 1 by electrolysis. Thus, a dehumidifying device and a lamp that can rapidly eliminate water vapor that has penetrated to the inside of a housing to the outside of the housing can be provided.",20160526,B01D53/26,NITTO DENKO CORP
US-2023002221-A1,"Hydrogen storage method, hydrogen gas production method and hydrogen gas production system","The present invention relates to a hydrogen gas production method, which includes: a first step of concentrating an aqueous solution containing an alkali metal formate; a second step of protonating at least a part of the alkali metal formate by electrodialysis to produce a formic acid; and a third step of decomposing the formic acid to produce a hydrogen gas.",20230105,"B01D61/02,B01D61/46,B01D61/44",NITTO DENKO CORP
WO-2021192791-A1,"Metal-organic framework, separation film, and method for producing metal-organic framework","The present invention provides a metal-organic framework suitable for improving the flux of a permeating fluid that permeates a separation film. This metal-organic framework includes metal ions and organic ligands. The organic ligands include a first functional group and a second functional group different than the first functional group, in addition to a functional group for coordinating with the metal ions. The second functional group is a hydroxy group, a nitro group, or a carboxyl group. The percentage of the number of moles of the second functional group is 30 mol% or less relative to the total value of the number of moles of the first functional group and the number of moles of the second functional group.",20210930,"B01D71/64,B01D61/36,B01D71/06",NITTO DENKO CORP
CA-3097434-A1,Mixed matrix membrane with graphene oxide and polyether amide polymer for dehydration of gas,"Described herein are crosslinked graphene oxide based composite membranes that provide selective resistance for gases while providing water vapor permeability. Such composite membranes have a high water/air selectivity in permeability. The methods for making such membranes, and using the membranes for dehydrating or removing water vapor from gases are also described.",20191010,"B01D53/26,B01D69/02,B01D71/62,B01D67/00,B01D71/52,B01D69/14,B01D53/22,B01D71/82,B01D71/80,B01D71/02,B01D71/28,B01D69/12,B01D71/40,B01D71/56",NITTO DENKO CORP
WO-2020084996-A1,Separation membrane and membrane separation method,"The present invention provides a separation membrane suitable for separation of water from a liquid mixture containing an alcohol and water. The separation membrane 10 contains a polyimide having structural units represented by formula (1). A is a linking group having a solubility parameter determined by Fedors method of more than 5.0. B is a linking group in which the same parameter is 8.56. R 1  to R 6  are independently a hydrogen atom, a halogen atom, a hydroxyl group, a sulfonic acid group, a C 1-30  alkoxy group, or a C 1-30  hydrocarbon group. Ar 1  and Ar 2  are divalent aromatic groups.",20200430,"B01D61/36,B01D71/64",NITTO DENKO CORP
KR-20180065893-A,Treating method and treating device for polarizer manufacturing waste liquid,"The present invention provides a treating device for a polarizer manufacturing waste liquid which can easily and efficiently recover potassium iodide from a polarizer manufacturing waste liquid. The treating device for a polarizer manufacturing waste liquid recovers potassium iodide from a polarizer manufacturing waste liquid, and comprises: a first evaporation and concentration device (1) to evaporate and concentrate the polarizer manufacturing waste liquid to produce a first precipitate including boric acid and polyvinyl alcohol; a first solid-liquid separation device (3) to produce a first filtered liquid obtained by solid-liquid-separating the first precipitate from the polarizer manufacturing waste liquid; a second evaporation and concentration device (4) to evaporate and concentrate the first filtered liquid to produce a second precipitate including potassium iodide; and a second solid-liquid separation device (5) to produce a second filtered liquid obtained by solid-liquid-separating the second precipitate from the first filtered liquid. Potassium iodide can be recovered from the separated second precipitate.",20180618,"B01D25/12,C02F1/06,C02F1/22,C02F9/00,C02F1/38",NITTO DENKO CORP
US-2020230536-A1,"Air filter medium, filter pleat pack, and air filter unit","The air filter medium of the present invention is an air filter medium including a stack of a porous polytetrafluoroethylene (PTFE) membrane and an air-permeable support member, a repulsive force generated in the medium when the medium is compressed in a thickness direction thereof is equal to or greater than 30 kPa and equal to or less than 150 kPa at a compression ratio of 30%, and at least one main surface of the air filter medium is formed by the air-permeable support member and has a maximum coefficient of friction of 24 gf or less. The air filter medium of the present invention is an air filter medium that uses a porous PTFE membrane and in which a decrease in collection efficiency due to pleating is inhibited.",20200723,"B01D49/00,B01D46/00,B01D71/36,B01D46/52,B01D46/24",NITTO DENKO CORP
JP-2020079952-A,Processing method of film and manufacturing method of polarization film,"To provide a processing method of a film in which an active ingredient is separated from an excess liquid, sequentially in combination with film processing, for recycling.SOLUTION: A processing method of a film includes: a dyeing step for immersing a film B in a dyeing bath 2; a crosslinking step for immersing the dyed film B in a crosslinking bath 3; and an adjustment step for immersing the crosslinked film B in an adjustment bath 5. The adjustment bath 5 has a solution containing a boron compound and an iodine compound. A portion of the solution is taken out of the adjustment bath 5. The portion is separated into a solution containing the boron compound and a solution containing the iodine compound by the use of a reverse osmosis membrane 71, and the solution containing the iodine compound is supplemented in the adjustment bath 5. Conductivity of a permeated liquid of the reverse osmosis membrane 71 is measured by a conductivity meter 651.SELECTED DRAWING: Figure 2",20200528,B01D61/02,NITTO DENKO CORP
WO-2019230257-A1,Blood filtration membrane,This blood filtration membrane comprises a porous membrane. The blood filtration membrane is characterized in that the median pore diameter thereof is 0.5-2.0 μm and a value obtained by dividing the distance between the pores by the median pore diameter is 0.20-0.40.,20191205,"B01D69/00,B01D61/14",NITTO DENKO CORP
BR-112013021797-A2,,,20161025,"B01D69/06,B01D71/36,B01D39/16",NITTO DENKO CORP
